Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
eclipse-ee4j/glassfish-grizzly,,"Writing scalable server applications in the Java™ programming language has always been difficult. Before the advent of the Java New I/O API (NIO), thread management issues made it impossible for a server to scale to thousands of users. The Grizzly NIO framework has been designed to help developers to take advantage of the Java™ NIO API. Grizzly’s goal is to help developers to build scalable and robust servers using NIO as well as offering extended framework components: Web Framework (HTTP/S), WebSocket, Comet, and more!",,https://github.com/eclipse-ee4j/glassfish-grizzly,,89,,179,,#2206,,Avoid using ThreadLocals for caching expensive resources,,2024.3.25,,N/A,,N/A,,N/A,
eclipse-ee4j/glassfish-grizzly,,"Writing scalable server applications in the Java™ programming language has always been difficult. Before the advent of the Java New I/O API (NIO), thread management issues made it impossible for a server to scale to thousands of users. The Grizzly NIO framework has been designed to help developers to take advantage of the Java™ NIO API. Grizzly’s goal is to help developers to build scalable and robust servers using NIO as well as offering extended framework components: Web Framework (HTTP/S), WebSocket, Comet, and more!",,https://github.com/eclipse-ee4j/glassfish-grizzly,,89,,179,,#2250,,Replace SimpleDateFormat used with ThreadLocal into java.time packages,,2025.10.2,,2025.10.9,,4.1.0,,687d022,
aws/aws-sdk-java,,"The AWS SDK for Java enables Java developers to easily work with Amazon Web Services and build scalable solutions with Amazon S3, Amazon DynamoDB, Amazon Glacier, and more.",,https://github.com/aws/aws-sdk-java,,2.8k,,4.2k,,#934,,Thread leak on glassfish application shutdown using AmazonCloudWatchClient,,2016.12.7,,2016.12.20,,1.11.63,,N/A,
aws/aws-sdk-java,,"The AWS SDK for Java enables Java developers to easily work with Amazon Web Services and build scalable solutions with Amazon S3, Amazon DynamoDB, Amazon Glacier, and more.",,https://github.com/aws/aws-sdk-java,,2.8k,,4.2k,, #1704,,Remove ThreadLocal use ,,2018.7.31,,2018.8.21,,N/A,, 6aec7f5 ,
redisson/redisson,,"Redisson is the Java Client and Real-Time Data Platform for Valkey and Redis. Providing the most convenient and easiest way to work with Valkey or Redis. Redisson objects provide an abstraction layer between Valkey or Redis and your Java code, which allowing maintain focus on data modeling and application logic.

Redisson greatly extends the capabilities of Valkey and Redis by providing additional services and data structures not natively available in either platform. This enhancement includes distributed Java collections, objects, and service implementations.",,https://github.com/redisson/redisson,,5.5K,,24.3K,,#2309,,Running in cluster mode for a period of time may result in OutOfMemory,,2019.9.9,,2019.9.20,,3.11.4,,3a47ed4,
redisson/redisson,,"Redisson is the Java Client and Real-Time Data Platform for Valkey and Redis. Providing the most convenient and easiest way to work with Valkey or Redis. Redisson objects provide an abstraction layer between Valkey or Redis and your Java code, which allowing maintain focus on data modeling and application logic.

Redisson greatly extends the capabilities of Valkey and Redis by providing additional services and data structures not natively available in either platform. This enhancement includes distributed Java collections, objects, and service implementations.",,https://github.com/redisson/redisson,,5.5K,,24.3K,,#3142,,Is it able to encapsulate 'isExistsAsync' and 'fastPutAsync' into one Batch ,,2020.10.20,,2021.1.18,,3.14.2,,723558e,
redisson/redisson,,"Redisson is the Java Client and Real-Time Data Platform for Valkey and Redis. Providing the most convenient and easiest way to work with Valkey or Redis. Redisson objects provide an abstraction layer between Valkey or Redis and your Java code, which allowing maintain focus on data modeling and application logic.

Redisson greatly extends the capabilities of Valkey and Redis by providing additional services and data structures not natively available in either platform. This enhancement includes distributed Java collections, objects, and service implementations.",,https://github.com/redisson/redisson,,5.5K,,24.3K,,#2234,,"org.redisson.client.RedisNodeNotFoundException: Node: NodeSource [slot=null, addr=null, redisClient=null, redirect=null, entry=null] hasn't been discovered yet ",,2019.7.19,,2019.7.24,,3.11.2,,8a898ce,
gradle/gradle,,"Gradle is a highly scalable build automation tool designed to handle everything from large, multi-project enterprise builds to quick development tasks across various languages. Gradle’s modular, performance-oriented architecture seamlessly integrates with development environments, making it a go-to solution for building, testing, and deploying applications on Java, Kotlin, Scala, Android, Groovy, C++, and Swift.",,https://github.com/gradle/gradle,,5.1k,,18.5k,,#13857,,Use fewer thread locals for MutationGuard,,2020.7.20,,N/A,,N/A,,N/A,
gradle/gradle,,"Gradle is a highly scalable build automation tool designed to handle everything from large, multi-project enterprise builds to quick development tasks across various languages. Gradle’s modular, performance-oriented architecture seamlessly integrates with development environments, making it a go-to solution for building, testing, and deploying applications on Java, Kotlin, Scala, Android, Groovy, C++, and Swift.",,https://github.com/gradle/gradle,,5.1k,,18.5k,, #13835,,Explain memory leak-like slowdown when FSW is enabled on Gradle build,,2020.7.17,,2020.7.20,,6.7,,N/A,
influxdata/influxdb-java,,"This is the official (and community-maintained) Java client library for InfluxDB (1.x), the open source time series database that is part of the TICK (Telegraf, InfluxDB, Chronograf, Kapacitor) stack.

",,https://github.com/influxdata/influxdb-java,,473,,1.2K,,#1019,,[Bug] Memory Leak (Old Gen Exhaustion) via ThreadLocal StringBuilder in Point.java ,,2026.2.22,,2026.2.26,,N/A,,455ee29,
apache/dubbo,,"Apache Dubbo is a powerful and user-friendly Web and RPC framework. It supports multiple language implementations such as Java, Go, Python, PHP, Erlang, Rust, and Node.js/Web.

Dubbo provides solutions for communication, service discovery, traffic management, observability, security, tooling, and best practices for building enterprise-grade microservices.

",,https://github.com/apache/dubbo/issues/1664,,26.5k,,41.7k,,#1664,,memory leak when ExceedPayloadLimitException happens ,,2018.4.23,,2021.6.14,,N/A,,N/A,
OpenLiberty/open-liberty,,A lightweight open framework for building fast and efficient cloud-native Java microservices:,,https://github.com/OpenLiberty/open-liberty,,631,,1.2k,,#24577,,Memory Leak in MicroProfile Open API's SchemaRegistry.current,,2023.3.7,,2023.3.11,,5.0.0,,N/A,
apache/logging-log4j2,,"Apache Log4j is a versatile, industrial-grade Java logging framework composed of an API, its implementation, and components to assist the deployment for various use cases. For further information (support, download, etc.) see the project website.",,https://github.com/apache/logging-log4j2,,1.7k,,3.6k,,#3569,,"Bump org.awaitility:awaitility from 4.2.2 to 4.3.0 in /log4j-parent
",,2025.3.24,,N/A,,N/A,,N/A,
JanusGraph/janusgraph,,"JanusGraph is a highly scalable graph database optimized for storing and querying large graphs with billions of vertices and edges distributed across a multi-machine cluster. JanusGraph is a transactional database that can support thousands of concurrent users, complex traversals, and analytic graph queries.

",,https://github.com/JanusGraph/janusgraph,,1.2K,,5.8K,,#2413,,Transaction index cache memory leak ,,2021.1.31,,2021.2.15,,v0.6.0,,08fd019,
